reviewId,content,score
0559a84b-ad9a-407f-a20f-24b8378b7754,نایس,5
55413d5f-8713-4649-93d0-2ba81d822ae0,Good,5
32fe68b3-3c00-495b-aa41-69463fca1f1c,Good morning po ako po ay taga brgy Lake Danao Ormoc City Leyte pilipines po at ang mga magolang ko sila Lourdes Villiamor Ymas ug ako Leonila Villiamor Ymas tatay Tiudoreco M Ymas nakatera kamey sa brgy Lake Danao Ormoc City at ngayon po 8 kameng mga mag kpated 4 ang babae 4 ang mga lalakey ngayon po mga mayron nang kanya2 pamlya lahat ako 53 yerld at nanay ko 89 yerld tatay kopo patay na buhay pa ang nanay ko at ngayon po mayron na akong Pamiya kasal Oredginal miredthe at in 5 kids in hom.,5
6a04e906-427a-43f8-a97a-152339e609ca,Not god,5
2aa58a7a-fb3b-469a-9216-0c940e790854,Sexy,5
e8bf9801-ede0-4342-9b70-f0a934562310,Foto. video,5
aa1d910c-d749-48ed-96c0-09c399333262,is not open the app,1
858a3c19-920c-479b-b4c5-13ecfe81b5e8,Good,5
273f6071-7c63-4437-80a6-abc8f69b89db,Ignore do if,5
44ed0583-1908-4697-b35d-1b663dd37b8f,good,5
189fc9ec-7843-4aa9-b569-ed6a74863d98,Good,5
0b2885b7-0cf2-4329-bbaa-5f337a6b9918,Nice app for my redmi note 9 Pro....,4
7f99d257-3462-4229-b6bd-bf88da2fde8e,Very nice,5
3d8ca63f-47ce-4916-84bf-2430aa232d87,very slow,1
da4809a7-3310-4de9-9bac-0641cfa8b78b,Good 😊😊😊,5
94535cbc-3389-410d-8e30-25e5a318c036,Cassandra loftandado,5
23a9f3a7-34cd-4fa7-b400-bdcee2625c7d,Ty for the fb,5
f1812c77-8d50-4d1e-8848-9e15c89c4a24,The upp make me smile and communicate with a lot of people,5
c2ead48f-da99-4e52-87b8-07de606ea2d0,🤩,4
d38e4ae9-1e1a-4778-b118-3ec1af53117f,Nice,5
375610d6-edca-440c-be40-6b2dfd6eaa8e,❤️,5
bffbf756-c830-4111-8fd7-af461242cb64,🙄,5
f60eb77b-50c2-4fd9-9639-440058046ddf,Amazing app for fun,4
01510c22-10ef-4778-8226-4343c1962eea,Please bring back the we.ed search options,1
727afbec-b0fd-4eb2-b51a-b735979814ed,lsmail khan,5
381bc6a4-20d4-4f1f-b2b6-47bcb0339f98,"my account is disabled, i just changed by birthday but it got disabled, I'm so disappointed.",1
ec5ec6aa-3907-4bf6-a41c-ec2fa84a642a,I chose this because,5
51aaf5c1-c08f-4978-860e-d79b90197177,Every day update...Every day update....Please Stop this kind of kidding....Because when was Facebook open it's not work and messaging UPDATE.,1
c5c447ef-e692-4676-a727-c38a8170a043,Open my Facebook Lite online on korun google,1
262ee4d2-4755-4792-b013-8baa4008978a,Nice,5
42189074-fa6c-4cb4-99b1-75e6e5a2f43a,Hello please I can't log in into my account after the update please I need help,1
bf69e104-2bd3-4e9b-aa16-04d37b7f80c7,I like it,5
79d8800c-5e6b-4c1d-82ed-2c153a8d1cd7,Love Facebook lite,5
a5029e96-8e23-4801-9c08-4fc6699ab52f,Good,5
0f9722f7-87f8-453a-bce3-6308f5ad929e,Great,5
7b362332-f791-4f29-85b3-357a32d1bc4f,Install Facebook account number,5
fcb6b66d-8e0c-4da2-9ef7-09551a946757,This app is lovely,5
ebab96d8-069b-4f0f-ad6e-10059e3b2530,wasapp,1
56e72fe6-b305-40eb-b135-ad41f32d1e1f,"Xd,",1
f1fbd421-3e94-41e1-a48c-1e6ba3c91f49,Freefire,5
6109674e-1bce-4a98-aada-4bfe925c3213,EL HALY,5
50f61c00-3a03-4c2b-ade3-03c7f5d2e7f6,Very nice platform to social what's going thanks for that platform everything about social media,5
5fdbe607-8d94-4660-b6b6-e3f3cde1f03b,On phone,5
ec1ac686-0d9c-4b63-805c-664d87b22f76,Find facebook lite,5
b05a566a-385d-4f3c-9b78-b2f24b1ddd56,I like it,5
5b6525d3-b696-482c-860f-17bcd45e3e25,Paano kopo marerecover yun facebook kopo,5
124c598f-8cf6-4083-b061-16b0e16e6d98,Loved it,5
18ceb449-8617-4103-a9a4-00475a7b9275,Very good,2
