reviewId,content,score
1b967946-fca2-4e09-a1a4-a2d01a6f7be9,Good app 👍,3
788e3daa-21be-4758-8458-a30d5f90e40a,Nas,5
6ef96a81-c28d-498c-9191-a03cd2d44f85,Nice app,4
8700bbf1-574d-4bab-9690-41ce7d336948,Good,5
373e9f54-3ad4-462c-8d1f-a3f9c80d0fb8,josss app,1
bba0ee32-d1ea-4d3d-9c9a-547ad9f22aee,Very good,5
7a0bafb7-6447-4340-882e-6b4d73e74476,I don't like this notion developers can see and use this info!,1
1c56798c-3000-4a4d-9b2f-e4514881a207,good 😊,4
6101f203-79d2-449c-b512-534d2998a326,Not love anyone,1
8467de6f-01df-4262-a24f-38472854d98f,আমি ভালো,5
c3f5f87c-8d1e-45bb-87d8-64589f96891b,very nice,5
12209e0f-7a00-48e0-8a6e-7201e711a159,well done. It really revealed the character of Reagan which was why he was such a great president.,5
43a129aa-128c-430b-8e81-198451892e7f,good ......,5
07063ff8-dc16-4201-999c-9c1ef76a6c4f,good,5
57deade4-9bd5-4d61-aec6-7e538ce9232e,Best,5
ad6c152f-b25c-4cca-b990-01d2e5f9ce7f,Nice,5
3c2c1250-4e1e-48fd-ba7f-13bda5dd7f63,♥️♥️♥️,1
b388d5f1-311e-420e-8154-1f23e69063c5,Til yesterday everything was good. But now is a problem to post a photo or gif to my Facebook page or groups. I'm not restricted on Facebook. Facebook works perfectly when on my PC but via phone it's become hard to post things. I'm on a Galaxy I bought 4 months ago. Before yesterday everything was fine & it works fine everywhere but Facebook now. Cleared my cache & cleared my data on Facebook app. Didn't solve the problem. I uninstalled & reinstalled the app. Didn't help. What to do now? Help??,4
985faf46-bcf3-4257-9391-feedcfa65ee3,Ok,5
1d72a0a0-4a30-4750-8c13-376ed8d2a05c,naice,5
ddd4f965-4a50-4e0e-b4ed-d055260915aa,"questionnaire was open upon opening. it is related to FB needing to have emergency real doctor review robot computers and keyboards for access experience. The refusal to update Justin Timberlake FB flags as a medical concern and job problem as upgrades have been avoided needs emergency attention emergency Dr. New blood vicki language and robot vicki language about old blood Taylor real Dr. for Taylor sends messages with Doug to families Real robot doctor for robot messages, removal fake robot",3
00d8d4b2-b2fc-471c-91c1-2a7325c3bc07,I think I should be able to deny this,1
5600f9d3-b46c-4567-b497-ef7daac887c8,Don't feel safe.,1
391d4844-5c41-491b-87dd-aad1530e6479,awesome,5
2e85bd15-15ef-4517-9942-03a2dd3c1330,good,3
db9afaf5-26b5-4616-9b3b-3a9b3c2b5ac9,too much control over what's supposed to be free speech. I understand threats and discrimination are not welcome. But if I want to speak my mind on ANY subject. I should be allowed to. anything from wwll to current political parties.,1
337483b3-5fe9-4b4a-bd7a-7441e0be0d6b,wonderful experience with Facebook,5
9b051459-9c89-40e2-a0cb-e6552a437b2f,Athula namal bandara,1
d7762570-531c-4f0b-b8f5-2f0004d49e6c,Darun,3
a1d56d63-f3b8-4f36-857d-76ce613f5b00,it's good,5
24afa0f6-cfec-490a-94f4-987a13d3f7e0,This app is good for all,5
2cc094db-947a-42d0-b484-bebc3a7397be,ARJUN అర్జున్ अर्जुन् ଅର୍ଜୁନ୍,5
