reviewId,content,score
c034aab3-e1f6-4a1c-980b-8a7d9e67943b,good but it requires lots of features,3
2dd54c90-832c-4265-9c43-12212fac6975,"Decent. But can be slow to open and glitchy. Sometimes won't open at all, just says: ""Working on it... "".",3
559ba791-f46d-4497-a68b-16a68d7954ba,good app,5
7764aa14-ee46-444c-b433-76bd0c102535,High quality word processor....,5
05bacbf5-dd82-47cc-aa3a-199d844ddf66,Great,5
e8c3c689-3a6f-4bf5-8a04-b2c9528be8c6,impressive,4
a096362e-83c1-49a5-81e9-e1d4217de106,great,5
642c9bb1-03de-4b81-b18a-6a4a5fd88b80,V.good,5
0486e69a-5f90-43fd-a615-9c5c61d48279,No option for insertion of logo or image,5
36e42199-d54c-4a90-ba01-e5f2bb26738a,good,4
0d945d7f-9e7d-48dd-9f33-45e0f949aab8,Rubbish,4
0ccfe433-95ee-4301-8e72-9016ec1923fe,This app is absolutely effective and it works perfectly,5
ee177880-41d1-4ee4-abcf-67ce103862fd,great,5
3ef2e615-7aaa-4443-8c63-3ad3534e70e5,App works. I wish Microsoft would stop supporting Isntreal.,5
db9a9e51-3c26-4c66-91ac-e83143087fd2,Couldn't live without it honestly!,5
46e2410e-8a59-4846-9cd6-1a844ff030c4,Good deal Excellent,5
d34b66a9-dcb3-4112-b8af-35079103eda6,Gud app,5
88344195-9113-4ae6-b86b-c8ab21a99ed7,good,4
8d3787c5-72b0-483e-9802-a7edd122fd4d,excellent,5
89de31a4-ffcd-48f5-a671-f93669b283ec,perfect app for mobile phones,5
4f79b6cc-4ab5-4740-b0e6-dcf479744f9b,shxt is dope,5
44738142-9868-457b-b76b-d37912148bac,super,5
6c3c8143-1f5c-4b0f-8218-7fffd2d7780b,Good,1
24c45183-8a1c-4e3f-8b62-bd2ad6bbb3b7,Buena,4
084fcc4c-535a-4c88-83ea-be3ac7308dc0,There was Word😂,5
691ff051-6c36-47f8-8238-c9d641fdb18a,MS is easy to use on my phone. Convenient when I am on the go.,5
7eabd6bd-ca28-4c08-8b78-42b594b579e0,"Excellent application! Very easy to use on computer and android phone. My ""go to"" document application. Extremely versatile.",5
2023434a-3e27-426a-ab1a-32ad173b88d6,great straight forward and speedy,5
d5c1ecd4-d8ab-45f0-9d7a-3b624f0193f0,It's good,5
18807d3b-9090-44da-8943-baa9d3ca1ac3,it's great!,5
369e0639-93c8-4d8e-8765-90aefeacaa02,How Can u Font Size without having to send a link,5
d70aa7d3-286a-4a7f-8099-fd106b6af557,it's user-friendly,5
0c5550ca-7c23-47f2-8bf5-da469a2d8d89,best,5
f4b1dab3-7da9-4395-9c5c-896b83b4a692,effective..👍🏻,5
16726cdf-7296-469b-9c83-f2efcf54e02b,Very good,5
7e23525e-b7ab-43bb-bdd6-a124a806c09b,The worst app I had ever used,1
8d979782-593e-4deb-94e9-f964e109e517,goooood,4
b47cbe12-954f-47de-b0f7-a72ed83ab641,Asks for some email when opening the app,1
f6a36594-7554-483b-8d9b-ef375a840457,Bad Experience,1
9dace998-9b8f-47a6-88a3-2dedab01bcfb,Nice app,5
221fccf1-314e-42c0-be17-af2351f32f27,love this app it's so convenient,5
6a9d323c-a971-439f-8b3f-0ff486f26b03,good,3
85944333-345f-4a58-848a-360e654c49f2,cool,5
db52eaa4-75d2-42fd-a4b6-7d23f19e4964,great make life a bit easier thanks alot,5
5e5b46a3-485d-4b64-935d-9ef1855eb664,it very useful application for everyome,5
c996f4f9-e54f-4fe3-9cd1-0b3afe053e12,"TRASH FRAME DROP BUGGING, NOT FULL OPTIMIZE IN PHONES TRASH",1
701f220d-888b-4310-b9af-e00bf081731e,easy to access 💯,5
a988a886-3a23-4132-bf0e-5ff788549ff9,hate it,3
f4619c4d-0e3c-4bfa-a59d-d28558755035,Poor has failed to open,1
389a7f89-17e1-406d-a0a9-daa6e8026480,"Sihw""zikjeijsijkjam***zssozj; look 3oœßw22exssosßr SS ee ee xwww2wwwwaTap on a clip to paste it in the text box.",1
ee2e4247-c0c9-4029-9a67-0308a5ecb2a8,good apps,5
3421f138-8f38-4264-ab2b-5b51cad8d071,good,5
8a437503-9b38-4d0a-8d16-21e4b6c7b157,Good,3
d98fd6d3-6987-489e-a54a-0565af4b532c,I've not found it disappointing,5
3b4283d2-7d29-4a8a-b542-d30ab9cad101,Many glitches,1
1d4488d8-3ff0-444e-8e54-9ead2c61e9bf,best app!!!!!,5
5cde879b-b4d9-4bdf-a5f4-8cca685de869,good,5
c330b90d-b68f-4abb-aa2b-ea6612e52d42,Ok,5
6637593e-52fd-47d9-ae1c-87bd1b651cd2,good,5
7a450146-212c-4098-8896-4a0aa2d187f0,This app for Android users the best,5
08d6ae9d-a285-41ee-9b74-8b10dcad1fb7,Good,1
eb4673bb-3131-4d51-8ab2-bf1300496460,so tough to login,3
f35db17d-56bf-4013-91e1-1fa548b2ee91,helpful,5
8bf14b37-fdac-4e3c-8ff5-f40ad18474c7,It is very simple and easy to use and helpful in daily tasks,5
507595c2-2ccf-431e-b11c-fef2ef541b56,easy to use,5
f2ce0f35-1467-465c-8196-da38e7e33d19,nice,5
e18b431c-760c-42bf-9a38-08c758920cb7,very good,4
bd4cb44c-f47d-4970-9ee7-e3b5171a6035,It's good and useful,1
06f0d80f-571d-46f7-82c3-0c3d0d81cdd2,An excellent app perfect for all types of documents for editing and a perfect app for making documents on mobile,5
