reviewId,content,score
713d736c-f264-49d6-bfc6-a635f7c836fe,I. Not saying. You GOING out,1
1b95a8dc-375f-4966-8d24-1f953c50401d,No one wants to watch ads.,1
360c2389-c711-4a6b-9142-bf2b14e12ba5,Kicks me out everytime I leave my house. I'm so tired of having to get a code to watch my own freaking account. This has gone too far. Netflix household ruined the whole experience.,1
9370b959-f3fd-4d91-87d3-82e1a045323f,"Can't uninstall this app, hence I must disable it. And before I subscribe for PC games ported for Android (there are still companies around where I can buy ports the old fashioned way), I'd rather buy a Steam Deck for mobile gaming, but I prefer my stationary PC anyway anytime it's possible. Nuff said.",1
04426e25-de32-4a41-be28-462a27fe81c6,Web serise,5
67c002c6-1144-42a0-9b67-678f6d978ef6,"The focus on games in the app is super annoying. Please remove this, or add an option so you can disable this. It will make the user experience so much better for everyone.",2
1bc7edd8-bbcb-40ca-8833-d078a0cff939,Trash app by trash company,1
2964b4cf-4809-4a2e-a3a4-2470f9f3756b,It has alot,1
b295e1b0-9bdf-4bf4-baec-d185c175a4f6,Awesome,5
8e5185b2-bd90-493e-94d7-6b965046cadf,Best for all ages,5
23ad8a87-77c6-4c7f-abf8-4fc8432d2b67,Good,5
56fa0d83-5c8a-4090-94be-962e794c1eb5,Chiness drma hindi dubbed please bring me pls,4
c1ffaf2d-f8b9-4bf5-9dd2-dcba74d887e6,My name is mubarak,5
3f345adf-abaa-48d2-b979-8c180456a75c,"Have to switch on captions every single time. Even after switching it on, it doesn't get reflected easily. Have to close the app multiple times and then restart. Such a menace.",1
ace1341a-e187-4f22-a6cc-14108c91097f,very nice for movie 🍿,5
aadf9544-1163-47a7-ba4e-6c5a709ed925,Nice,5
bdd0a17b-9883-41b0-8af5-99d5585ebfc6,"Brilliant, thank you 😁",5
75b369ac-e2bb-4c0d-9133-cf013b509cae,It makes me out again and again because of Netflix household I recommend Netflix to remove Netflix household,1
a147fa82-8294-424e-8c44-c173506c51dc,Good,5
b616e9c1-4129-4c6d-90c7-5ac7a335a3cd,Next update will make astro boy tobio 2009,5
6c366648-bd79-4079-8a9b-dd27847f96f1,Avarage hai,2
1fac089f-d2ae-40b8-a58d-202990ae402c,"This app won't load on my phone. Every other device I have, it will open.",1
16df3896-3961-4a79-ac9b-83a93bf85c5a,Good,1
2d3322ea-955b-4cff-89f2-b47cc60af740,1st time m facing issue to open Netflix... Can't connect to Netflix... Not apppricated,1
c1430eb8-2fea-4cc5-8042-89d3e5877f4b,মাদারি মাঘীর ফোয়া,5
322ab9a0-4334-428c-b11f-08c17fcd567a,"I've had Netflix since the Era where you could rent DVDs through their mailing option. Subscriptions have gotten so expensive yet their shows and movies offered aren't even worth 8.99 a month. They cancel great shows and pump out a bunch of duds in their place. Can't even get the popular ongoing series on this platform yet I'm paying more and more every year while they take things away. It's not a convince anymore, might as well go back to cable",1
d5f92701-c86d-445e-8d03-8e7be71f90a1,A motherfudgen love Netflix!!?,5
d1589736-9aa1-4afe-af97-a2f883c150e2,"I have to literally get my own netflix account even though im in the same household and on the same internet as my moms netflix account, this is so stupid making me spend more money to watch a show just because yall have to be so petty. Screw netflix.",1
6bd1e1ea-b030-491b-932f-a290f94bc09b,Netflix has as all of my favorite movies to watch,5
3003f2c2-3659-496d-8b93-c6427a790e2e,Netflix I love 💗💗💋💋😊😊😊😊😊😊😊😊😊😊😊😊😊💗💗💗💗💗💗💗💗💗💗😲😲😲😲😲😲😲💗💗💗💗💗💗💗💗💗💗💗💗,5
b85962c4-c878-44c1-b7ca-37a16729564b,"Used to be a good app. Now the network sharing features have gone overboard and ruining it. Unable to watch on the go via mobile device unless connected to home wifi and repeatedly go through the same stupid ""I'm travelling"" links. For someone that does FIFO work this is incredibly frustrating and stupid to have to put up with.",1
f9d8d9a8-c40d-4cc0-a7ff-70cb113396a7,gta san is dives problem plese fix this dives,5
9f9ddb83-9c82-4736-ade0-23b4f38ae9cf,Great app good price for as well.,5
bcb7e96e-591a-4603-9b28-2360ba066c1f,me gusta,4
c0a944c1-9ce5-4c65-9d82-11bf7fa309a6,PLEASE ADD BLACK BUTLER BACK PLEASEEEEEEE IF YOU HAVE NO ROOM JUST REMOVE THE EMOJI MOVIE I CAN GARENTEE YOU THAT THE PEOPLE DO NOT WANT THE EMOJI MOVIE AND PLEASE STOP REMOVING GOOD SHOWS FOR MOVIES NO ONE REALLY WATCHES.,4
4336c5f9-ea6f-4b90-832d-bc50ba62a239,Always shows screen limit but no one use my account and it SHOWS another account using but theys are use their account i faced this everytime,1
28b876d7-7736-40c0-b260-e1d317314046,Awful for consumer friendliness.,1
facb5cc1-7ee1-49f0-97f8-7d1fd34bfe14,Happy to come over and watch the invite and,5
4d824ddc-6185-4b75-9b0b-8b566d629b9b,I can't watch while I'm at work because I'm not in my household. There solution is pay for another account. This is criminal,1
23aadc61-4278-4a22-821b-0e3b4328798a,"I just suddenly got charged, get me my money back. We don't use the account anymore but I just got my allowance deducted because of this app",1
775b3f84-9644-42cb-b163-c800e52ecd36,For some reason ads always brighten the phone screen and I have to adjust it back. I don't know why the ads need a minimum backlight setting.,3
e481bcd5-08a3-482c-b83b-d1107ac7d7cc,Update required what 🤬,1
