reviewId,content,score
0d44dd35-227b-447e-8430-4c29073e5b77,Good,5
e37e5be0-4dde-49d4-88ef-5b2b1af5c7b4,I love this app for a beautiful photos,5
724280b8-0d99-4bd1-97b7-8082631ad4d3,Hujaifa786 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳,5
a5e4c715-1647-428a-b962-1c1090c26880,Worst experience!! The app lags everytime!I am experiencing this problem since so long now I don't even want to use it,5
1c9d563d-178e-4c7c-9e95-cd1b4d97415f,Majidjan,5
163d864b-fe33-433b-ada4-893bbfa5f22c,good app,3
a66a34b4-6d69-44f4-bcb1-76f05ba6f90f,Nice,1
c1d1c4ee-05d2-49bf-819d-68ecf01734e7,Sameer,3
e1a9a131-132a-4820-98e1-d636fab22374,Good,5
ab6ad999-b2a8-4f8d-90c8-18f4852fcb7c,App is good per abhi ye 6 mahine se mere app mein problem aari hai chats jo bhi saved rehte hai woh sab gayab ho jate hai ye hi nhi jab mein chatting karti hu tab woh message kahi dikhta hi nhi hai reply fir message ka reply dene nhi aata hai so snap please do this Or else great app,3
fb5b6269-a063-4319-80b0-0802c2bf3bfd,Àaaa A A,1
46aef789-199c-4bdc-a0b2-2f588831baf9,😍🥰,3
b82a920c-81c3-4b87-b7c8-8dc4ae2f4326,It's aa fabulous aap,5
5c61b6ff-e8e0-4fcd-a575-85feef4b0c9b,Thanks for letting me use your Snapchat,5
3afc3d3c-4cf0-45d0-b008-bef0906559bf,So beautiful app,5
a590f655-27ff-4d43-877d-c610428dad46,Can you guys add games back?,4
c905ba0e-1425-4f86-ae5e-233abf6c98ee,Hamzo Lashari,5
3c6508be-fed6-4b40-b9f2-0e93e2bc35c4,"Hi anyone knows about it I used to have an Android phone, but now I have bought a used iPhone 13. When I try to log into Snapchat with my username and password, it says 'SS06 banned device.' How can I recover my account?",1
09877fe7-6189-43a8-8fcb-bd9456101622,good,5
2fc9bb72-b871-4fc9-8780-7407aa60faaf,Not good Hc,1
bf294ea3-88b7-4d5c-b1df-fd90404ae5d0,Nic,5
d2c4ca8c-16d3-4223-8bfa-64495003b7d9,Amazing 👌👌,4
f31f5dcc-9a62-4589-9806-ab7766eff164,Hi bhole Bhai,5
4d0eee3c-8e51-438a-8861-f31a8a6e0798,I loved it 😍,5
35ecd0cd-6867-45e0-960f-e1f84a7985d2,Good app,5
e72d705e-e227-494f-bcae-7519a725bbd5,Love it so much fun on it everyday ❤️❤️❤️❤️❤️❤️❤️😍😍💓💓 Thank you for your time 😊🙏,5
7259848f-d688-432d-a28b-680d667be9ec,smile I love you,5
9bdb66aa-e4f4-487b-b19d-43fe627a1e05,He was block me that wy,5
25b4726e-2341-483f-bdcf-0f612cf058fa,Because always installing using always 24hr. on snapchat,2
c0d956fb-626c-4b3e-a8ff-ff71f86b1a40,excellent,5
88325362-3af0-47b6-aa48-08386817672f,excellent 👌,5
09e72a5e-6068-4009-a81b-efda4bddf6bc,amazing app,5
b746e05b-5094-4994-93ff-d9fb40db3d07,Good,5
e4b32c0c-aaca-4b49-8ffe-71ca01289b0d,good,5
fb35ba35-835a-4da4-992c-befefa594f79,This app was a nice app,5
3f28eab6-e1c9-4d8e-abe4-f4fd69afd59c,Previlon Melissa,5
8fb60cc8-748a-46c4-b88b-5c967bbfbad2,Calls is good and also my al,5
a55b9157-1c39-4682-8d64-c50c3d26857f,nice,5
7c9d87de-aafa-441e-b5b9-eed52567ced9,It's actually a great app for photos..,4
58b81fe0-bd9d-46ed-82f9-1462437aa14d,"It makes me, smile laugh etc....",5
60a5b1ba-6873-446c-84e5-a45809823871,Bunch And Brainy,5
14c5e924-f452-41da-b30f-7da45461fb9e,Everything is fine but please stop hiding screenshots in Snapchat Premium,5
c066e180-d8f1-4e21-a4c1-9494ad067295,I can't change my username because the app isn't recanizing my password! I even changed it twice and it still isn't excepting it.,2
deb48b58-2254-4c88-acfa-a1902ab6cca2,Worked for a good while then wouldn't do anything,2
ac83dc1b-9da7-43ba-aa55-a8d7cf4c8e94,Essaka Khadija Snapchat ratethis.app,1
90086553-571b-4c0e-a9c8-e35972488e80,I love this app,5
3e65e756-e551-4bcc-9993-f8231df36e30,The app doesn't record sound on Pixel 7. Tried everything including factory reset.,2
176d3c88-28c8-49c8-892d-5367b5038dc5,Saimakhatun Saimakhatun 🤬🤬 the,5
48eb6fad-6fdf-4909-a093-1cab5188d636,Love app,5
09a0d3e4-ced0-49a2-9106-4fb354c81f57,Perfect 👍🥰,5
c663cd39-1960-4d36-a2e0-6c16eba67a70,"love this app, the picture editing alone, is well worth it!",5
06a923a5-fda5-41d3-9e1c-8a8427112810,Nice,2
9aae7330-8b02-46dc-bc10-03f2f029ab57,Wruhdboxb,2
fb28daf6-9024-4be9-8eab-12fb4ccdcc00,Snapchat why can't we see our friends new usernames when they update them??,2
64e76473-416e-4bfe-aa42-dc565d0f3fcc,The last three updates have forced ads to play over stories/videos. I keep seeing updates and cross my fingers but no luck. App is currently useless.,1
d035bac5-45aa-46b0-a36b-8c3cf3cee6c7,Very weak while using this app,1
6ab88806-8188-4b7b-97ed-f10dde701d77,Khuram,5
86a30c28-79a2-4922-9b69-3d43c919b0db,so good for chatting,5
e9951508-c20e-440b-bf91-3fd687c8caf1,"All the influencer story's ruined snap, beyond annoying. Un-installed. To much data and privacy issues as well.",1
a66fbd93-a234-414d-b4cf-7a95d459079d,This aap is very enjoyable,5
d3536a5f-3c61-467e-8360-d267c4868995,Very good and nice 👍,5
bfa65bc9-00fa-411f-a893-fcb88896d474,Get rid of media upload 😭😭🙏🙏,5
30c8c9d4-19f1-4046-9195-44587ae8f9f9,Paying for bitmoji outfits is ridiculous,1
b48dd809-90ac-4082-aaa8-229aa9d08b74,I'm tired of their ads on other games. They constantly open Snapchat for you whether you touch it or not.,1
d3bd8bd4-9867-4ac5-ae15-929ca1286eca,all over it is a very nice and easy to use app to make new friends,5
6674e24d-c34a-45f7-8c80-c263f0f4a332,Remix Snap feature has been removed from my device's app even though the feature has been there for years. What's that about? Are you saying I've got to upgrade my decent phone just to get a feature back that was taken from me?,2
5793e2f5-7432-4a07-8253-6423bbf0e544,good as I remembered and still classic,5
17345ab2-4312-4b74-9f91-e8b229728ad9,Nice one,5
9777feca-5a5e-4495-bbb1-f63560b74acc,"It's only good for you if you have friends,no glitches and very good filters!!",5
abc79ee1-87a7-4dee-9dcf-0c6473161577,Horrible Targeted marketing along with not so appropriate discovering page considering most users are under the age of 18,1
dd64dbaf-17f7-4c30-994c-4c31e07964a1,Excellent,5
29993a04-f03c-48b5-b7fd-04b144f15245,Khaledkassem,5
c4c9f079-a900-404c-8e65-b25323fbfcf2,I love it,5
549d95cf-ea3d-45e3-83b1-6968f387ff7d,Nice,4
329af56c-2a8e-4ca6-b571-8d73c2ba6c54,What a blast!,5
c417721c-3dd9-47ba-aae0-3798b60921ea,Good app,5
5f7170de-2bc6-44bb-be9b-d2ed60c52a20,Love it xx,5
92371a4e-964d-4210-a7ad-8bfbc1075a7f,I enjoy using this app the only problem is the unreasonable locking of account and I find that very annoying they are ment to have send last 5 messages to Snapchat but they'll just go ahead and lock the victim account I'm writing by experience this is the third time I'm installing Snapchat again,3
37f71bb5-7fac-4e63-b920-5ecccb99edc7,I love this app a lot unexpectedly tho it has features which is not that great but overall is a good app to use,5
742f55c7-4655-480f-b3fb-6cc39b4b7a18,nudity should be allowed but like a certain like side-par and optional capturing of events. People love being dirty but yet classy but a little nasty yet catchy. And up-2-date. Yup.,5
e8a16f17-c992-4614-9315-e75e50a911a2,Love it 😀 😍 ❤️,5
57d16a49-45e4-4aab-a935-ef1393854494,I is amazing to talk to new people,5
74351c1b-6655-483e-95fa-2df7113a3d54,Good good,4
a0e7a5ee-0cca-44ce-9c5b-e804fd567f14,❤️ is an excellent,5
ae40ef1c-73be-4abc-aada-0703ec864c80,Is a good app,1
3a8917bc-15b4-4a3a-bc8e-9159045477ac,Snapchat is a good contact app if you dont have a phone number,5
09d742bd-7cba-4d46-b008-cf6f8fb318df,Amezing app,5
5f05186a-3fe1-4790-b936-d0ad9a6eb643,البرنامج حلو اوي انصحكم تنزلوه,5
9f605b3f-c957-4318-b837-560bdc967111,Nice app I love it,5
20abf364-a694-4d04-bae3-85bec037aaa6,I love this app so much 💕💕💕😍😍😍😍,5
c152da7f-fcd7-4b11-abcb-c4487b45a80d,I love it so much,4
8399147f-e16b-4660-a481-3bf6ea55c2fc,"snap chat team My account 43.1k subscribe, complete please give me monetizion option I'm complete monetization criteria, please help me, I'm old user snap chat team",5
63ea5e49-2b86-4bdc-a2df-954b8b09fec7,Abdii Awal 09,4
d2e4049e-8a33-45b2-843e-e6456360f2db,awesome,5
d30a68b4-cc5a-43d5-a11f-2daa4641df93,Good,4
8dba315c-3e10-4bb1-a83c-66dddba10ad3,احمدباچا,5
718af795-455c-43e7-b5ed-01b819537e83,"I repeatedly block accounts over and over and over and over again, and they continue to show. I've made reports to Snapchat about it, nothing has been done. You people are incompetent. Sorry I don't want to see softcore porn every time I open SnapChat, but they wont let me block it. They're forcing me to look at softcore porn",2
db083255-37bf-42e4-92fd-2911f9d9164b,Best app eveeeeer,5
e7b8a327-9161-4adb-8747-da5dcaf84272,Help,1
29ea856f-ec93-4deb-a013-efb1350f2446,The evil e to get big,5
d9d91b80-4a79-409c-bcf0-4dc0e9c8bbd7,I gonna review 1 star because I don't like new Snapchat I love old version,1
fc378acd-14dd-4284-9da2-e197cd5e21f4,literally unusable in most situations. Can't login half the time. While I understand my phone's not very powerful it's sad that this app that's been around for so many years can't even allow me to open snaps or put captions on snaps because of how laggy it is. Half the time it just crashes when I try to put a caption on or when I open a snap.,1
f58ac472-739c-4c6a-9207-cf7b9e027771,❤️,5
4d1f8344-e2fb-4e1b-8d24-810bb91516d6,Very nice 👍,4
51b2dc91-7abf-4cd5-90d5-894fe537e3ab,Nice app,5
938cc494-0229-47e1-9920-7bfa43d46e4c,Fun app,5
bb79e371-cc90-40d1-8415-67e1d4e2614e,Sure,5
250fb3f5-20d0-4134-8e3a-5d9003bafeac,👍,5
f59b37ac-c4fa-4ed0-9acc-bccf36b30d06,i fw it 💯,5
2e559b3e-1eaf-4386-89eb-012c4819fc70,The app is very smart in any event you want to program,1
