reviewId,content,score
7b9238e4-5211-482e-ac98-e8460d34a665,It sounded good it's just I wish it was offline too. Even without you pre.,4
7083c424-c845-423f-98fe-187987ccfee8,Good 👍apps,5
43e23cfc-fddf-4f51-90dc-acc6f6323600,I like it except for the part where I search a song and I have to skip a bunch 9f songs just to listen to the song I searched for.just to add to my playlist,4
6f65469e-f9b9-4b34-b65e-12faa26e9bcd,Peak Cinema,5
ede94435-8e87-4bec-a4f3-75b913babc9d,Worst,1
e91d9f2a-1661-4c3a-b0b8-ad9ea0b94420,Perfect!!!,5
397cf062-8f21-43ef-b244-f53def606959,Amazing with premium terrible with free,5
671de719-96a9-4aa7-bd70-4674d785f315,Fantastic,5
acb4b561-1086-44e4-9c21-7ca2605515b9,Nice command,5
33b804c9-3aaa-43e5-b985-4b5b8aab31e3,I love Spotify ❤️ 😍,5
a4e56ce1-042d-4a74-8d4d-b22201b76d77,Super 💖,5
2f1dd52a-5194-4650-a9e0-115098cf146f,very good music to listen to everday,5
52698a09-105a-4824-8867-4cb2db09e85a,"Horrible. To them 6-9 minutes is 30 minutes of ""ad free music"". Recently every time I close the app it starts with lady gaga or Sabrina carpenter as what I'm last listening to and I've never listened to that garbage. This company is getting worse by the day with their forcing certain songs and bands into your Playlist even after you say you want less of it. I will be moving over to Apple or another service.",1
90481c64-6102-4bc8-97f1-5c42507b2348,great app...thank you for the musics..,5
e0cf2fdc-d093-4812-9f5b-f577c12380fa,Ads more than songs,1
f1b34ec7-75e8-4a4a-b63a-d9b16fddcdbf,Instant music listing.This is the best ap of music But they are not playingsong offline And can't download,4
fd19218b-e540-49e5-a2e0-a377e053c315,Best music,5
5627ac7f-4460-4709-9050-2b4171e73785,Did a backflip and broke my neck whilst listening to Alex g,1
44b5e330-1116-470b-b13c-0fed3f9a195b,Great to use less can play music,4
7719b109-502a-424b-a15d-06e65cacc704,Too much ads. Can't enjoy the flow of music,1
fee2f84f-d4db-4a36-ad06-96c66be4e77a,Ok,2
499a229e-8853-42d6-913c-7c02573b411c,"The best music app I've ever owned, but I will say that I am disappointed when it comes to albums disappearing. Like Bill Nelson's Noise Candy and Disconnection by Gary Numan, where did they go?! Is it because the artist had them tooken off? But for the app itself, it's great, amazing variety (Except for those albums and a few others). And the quality it's great, thank you.",4
e1db06dc-5a4a-4e1e-a4fb-3f9625687888,"App struggles a lot when switching between networks, between devices or when connecting to bluetooth devices. Usually have to restart the app in order for it to work as songs either don't play, play without sound or nothing loads",3
fb3aad07-5f8a-4bdc-8041-6028c65488ed,Cool,5
1a8d8213-2782-4d2c-8164-e867abec77ca,Excellent,5
fda2916b-5009-40b0-a7f8-449fdf2c7085,Better than sirius,5
6820754e-e55f-4d99-867f-d63bd89e8d3e,Very nice and very nice and very,5
ec5db789-4e80-415c-ae65-1879ee145f73,The app is so cool,5
2427a822-a501-4719-a516-16300ec138de,Great,5
2b8cb521-34fc-4c48-b101-1ed1d46fb3cc,Good,5
634c9010-cde5-40ef-a077-5720c57e6f79,"If the ads doesn't come while playing the song,it was a good one (free subscription 😅)",4
b7269c32-7a98-4ff2-9a62-d3fdafd81e57,Poora,5
5d0cd007-99e5-4dfb-bcda-df63164d81cc,"What are we listening to ? Songs or ada ? I was having my student plan for premium but for some reasons I discontinued that and from that time the frequency of ads have gone 10x, like a single ad is playing 3 to 4 times a minimum before playing a song",1
eaa7bb3f-09f8-467a-a821-2589cf891d9d,INCREIVLE Y LA KESO,5
c3ef316f-5b0d-49ee-8be4-63b1a2fd46ea,"Love it, I listen to it all day at work.",5
3d8b2d6c-81aa-453e-a0e3-760dcae2d05d,They just remove my playlist 😡thay dont know how much i love that songs,1
3abec458-1855-401b-9739-28d94a7e567c,"I pay for premium and download podcasts onto my work phone, where I cannot stream things. I keep setting the downloads to ""never delete"", but the app keeps changing it to ""delete after playing."" I notice this issue when I accidentally skip the podcast from my homescreen widget, or if I somehow miss the end of a podcast. I keep trying to return to episodes moments after I had them, only to no longer have access. Then I visit the settings and it's back to the goddamn delete after playing option.",2
09f78f1b-04a9-4b0b-8260-0e240784c1c5,It's a good music app but honestly why do you have to buy something to enjoy it properly damn and the ads are so often but still good 👍,4
09294484-3f03-478b-987c-21ff09870cf1,Completely unusable on mobile,1
2461c56d-8cb9-410b-bb75-44a8f6df65d7,"Couldn't pick the songs I wanted to listen too, I had to wait to get to them and I couldn't even skip through them because of the limited skips and there was so many ads. Now there is an autoplay mode that doesn't allow you to play any song by itself and you have to have at least 15 songs so you don't get random ad songs in there.",1
14294a04-0d12-4ad8-b747-9c085316bd24,Nice aap,4
dba13d1a-8b29-4440-a642-7f4abb0986cb,"Honestly, 1 star might be more than the app deserves. As a premium user the amount of complaints I can list is wild. Just to name some bugs that have been bothering me for years: wifi occasionally disables the app, meaning I can only play whatever I've downloaded, god forbid I try to search songs online; Shuffle mode switches on by itself: Songs stop playing after 10 seconds; Offline mode turns on and off by itself; A song randomly plays every Saturday at 9 AM... I wish I was kidding about that.",1
d608491f-bbc2-4db5-865b-07b8ab704b22,"App literally stopped working. Won't connect at all, just stays in a constant state of buffering and eventually says ""were sorry about that"". Broken and useless, annoyed that I spent money on the subscription, going to attempt to get my money back now I guess because Spotify customer support is actually nonexistent. Garbage app by garbage developers, would not recommend.",1
a74cece3-b7ad-4511-bfcf-1e93c8b63435,cool,5
d98718aa-f312-4dc2-9687-99d67f6c6e5b,"Too many ads, y'all just want money hah? Iykyk",1
