reviewId,content,score
fa9eefb6-d55f-4c69-9767-14a046956b46,One thing should be improved in whatsApp that storage unit should be make to change. I mean we should have right to save media in internal or external storage. It would be a great move for people owning low storage mobile,1
eda9ed74-af06-460b-b14f-10dce8587b04,Nice,5
ba78a769-445b-4292-a507-bc967e9abdf8,Very Good,5
c2c50dd1-e1e5-4335-b9e7-57b09b162abe,WhatsApp can destroy itself💀,1
26a91612-390e-4fc4-a328-cb8e7a6db001,Rupsingh Paulaya,5
0a76cbb9-1849-4fde-b20c-fa4116909d26,Let us use and see,5
3467b2bd-aa0a-4768-9ceb-63c7069966c7,OnePlus Nord 3 phone story time is not set it's show error,3
fa142905-45f0-4862-a5db-ba1bebaaa5c3,Very good App,5
e2ea385f-52bf-4da1-849c-76cc717c19c9,Hi WhatsApp support Always following your term and condition but my WhatsApp account is banned from using WhatsApp please solve this problem,3
72cbd76a-d547-41d8-896a-791c97d95920,ahsanshah,5
8bea86a9-313b-408e-94a2-46e78abda5d0,"If u want to send a pic or an mp3 from your gallery , it makes a copy of the file in your gallery",5
a75d7e00-f172-474d-b507-30eed9ec00ba,Super,5
5b171c15-5e1e-4e1f-b0e1-54e4636f0f97,Mughe bhut arjent dokomennts bhejne h home par plz mera WhatsApp ko chalu kardo plz help me m bhut psresaan hu pls,5
73690efb-c9db-4f8a-9204-2a0445c274df,Nathu,5
37829b8e-22fb-4701-8fd7-4936684e1f7a,Regret updating it on my Chromebook... it was working fine before but after the stupid update the app stops working. PLEASE REMOVE THIS UPDATE!!!,1
466413c7-2692-4b67-86f0-1728db95211c,Very good,5
ee08902f-e764-467d-aa85-5b744b845c36,Good,5
e8edcee6-eb40-4668-bd24-361e6717f99e,Dear wharcap tem please me bekup my wharcap forget password my notifications please update 3star give me,3
eed638ce-aa7b-434e-8491-a329470dbd6e,وٹسپ,5
884240c4-d6c9-4417-9b3d-df1bd9314ea1,Very nice app this is help full,5
df8772c0-04d9-47ab-a6fe-9bcbfe71374b,I have a problem to login. I can't get a verification code.,1
9245f92d-89c2-4730-a487-49e63c34b655,Nice,5
05694a01-3e7f-4a4c-9004-4bf665295edd,Bon bagay 👈,5
